6,-3,8
5,-12,-16
8,-14,-7
-7,17,2
6,-3,4
-7,7,-7
5,-12,11
-10,18,-15
-2,-15,-2
-3,4,-6
-7,-3,-4
8,18,15
9,10,-6
0,15,-10
-6,-1,2
-10,11,14
-2,1,-17
-4,13,-19
10,2,-10
-1,7,1
-3,-9,3
4,-8,16
-10,-3,8
3,-11,-12
10,-3,18
-1,10,-10
9,17,20
5,13,0
-6,-8,-17
8,-12,-14
-7,14,16
0,-4,-4
-6,13,-9
1,7,0
-4,7,9
10,4,12
-1,5,-1
-4,3,11
-7,8,-7
-9,-11,3
6,9,-13
5,-13,3
0,-10,-19
6,-15,13
-5,-1,-11
-5,9,0
-9,12,6
2,-9,-14
-9,18,16
8,4,7
-10,-5,-10
0,-13,1
-6,7,7
10,-1,9
-9,10,-16
8,18,13
-6,13,-6
5,-4,-15
-5,-3,15
8,-2,3
-8,2,-14
-9,2,17
0,-6,-16
6,12,-15
-7,-9,-18
10,18,-17
7,9,2
7,-11,-8
-9,11,1
8,-7,12
-4,5,13
-5,-7,-4
-6,-12,20
1,-8,-12
-6,-3,-19
6,-2,4
1,-13,-12
10,-2,-14
-2,0,0
1,-12,14
-8,1,-3
-10,-5,-18
-4,1,9
-5,12,-13
7,16,-5
-1,-10,13
1,-10,-4
-1,16,-14
-6,17,-13
-3,17,19
-4,9,7
6,-10,20
-8,13,9
-6,-1,-15
6,5,-10
8,-6,-2
0,12,-3
-2,9,17
5,4,-8
5,13,1
